n,n_quarters,r2_avg,fin_neg_prop_coef,fin_neg_prop_t,log_size_coef,log_size_t,log_bm_coef,log_bm_t,log_turnover_coef,log_turnover_t,ff_alpha_pre_coef,ff_alpha_pre_t,nasdaq_coef,nasdaq_t,io_coef,io_t,coef,t,panel,config,ff48,cell,sentiment_var,fin_neg_tfidf_full_coef,fin_neg_tfidf_full_t,fin_neg_prop_mda_coef,fin_neg_prop_mda_t,fin_neg_tfidf_mda_coef,fin_neg_tfidf_mda_t
50792,60,0.044491475314591404,-0.14739970522594542,-0.8229762780252822,0.05839461554076152,1.2111256226725036,0.08145317573399777,0.7676955718434064,-0.34311446317507444,-3.178973537946115,-0.06254927191650911,-0.2964098314304341,-0.14764251507444562,-1.0229746397395998,1.0623966836119296,2.6712010913717474,-0.14739970522594542,-0.8229762780252822,default,C_WLS_1_over_n_same_date,False,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.04641239278555163,,,0.042436120520124666,0.8765903125684303,0.04875124427261917,0.46715411340120155,-0.3482230103760115,-3.3702689903910237,-0.06703843379643504,-0.3183922875054182,-0.18869509753091934,-1.3229910990380862,1.0840084748725471,2.729080361011304,-0.0005631003710676067,-0.08527053653855927,default,C_WLS_1_over_n_same_date,False,IV_col4_tfidf,fin_neg_tfidf_full,-0.0005631003710676067,-0.08527053653855927,,,,
48246,60,0.040024021257084035,,,0.06668794932055919,1.3712298299298717,0.08379399590576299,0.7405517761681009,-0.3327017198474749,-2.9971213980606772,-0.12715712464034423,-0.5939820106631676,-0.12662056030898597,-0.8466414803326917,1.1194906656373425,2.840373172655394,-0.23205073308446372,-2.78597546622263,default,C_WLS_1_over_n_same_date,False,V_col2_prop_mda,fin_neg_prop_mda,,,-0.23205073308446372,-2.78597546622263,,
48246,60,0.041835325117201255,,,0.07166631446712428,1.4467892430953562,0.06340457221539754,0.564175624136498,-0.3338737000214478,-2.9440058421685933,-0.13757131487382787,-0.6469659397343995,-0.123951035897612,-0.8241979886862699,1.125474592297139,2.8516056746619154,-0.011045247790233565,-1.4618811306974229,default,C_WLS_1_over_n_same_date,False,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.011045247790233565,-1.4618811306974229
50792,60,0.1500804430004649,-0.16388274156006402,-1.107242309642726,0.09449624039940413,2.3076287744242703,0.05168385672431643,0.41620385089953754,-0.24467132416320173,-1.805910148049017,-0.05715773816626303,-0.20098132807394023,-0.11568464940418723,-0.7810481856993139,0.053884813696560147,0.18580455874362908,-0.16388274156006402,-1.107242309642726,default,D_WLS_freq_plus_TSwt,True,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.1504812786052195,,,0.09182452121173819,2.2574520636774222,0.03360169053226257,0.26359302349055524,-0.23675571904463744,-1.773151233947768,-0.04979380716953592,-0.17420165833047715,-0.12283897035327215,-0.8520480247599278,0.04327369725794966,0.1474488572213625,-0.0043345934439295904,-0.7189936933967713,default,D_WLS_freq_plus_TSwt,True,IV_col4_tfidf,fin_neg_tfidf_full,-0.0043345934439295904,-0.7189936933967713,,,,
48246,60,0.14771603555285298,,,0.09337370513581097,2.067012274932316,0.025257772390368638,0.20135719601392768,-0.2991015697769669,-2.1278381069937096,-0.0936634257853427,-0.32739296355996106,-0.12634024874818267,-0.7572997144446039,0.1178463602406229,0.40684741475219777,-0.07254397546809563,-0.9183696985544412,default,D_WLS_freq_plus_TSwt,True,V_col2_prop_mda,fin_neg_prop_mda,,,-0.07254397546809563,-0.9183696985544412,,
48246,60,0.1480685553174554,,,0.0945970111908275,2.1186240686543765,0.019295288526427798,0.15125283337446516,-0.29267374368409993,-2.1032360604050493,-0.0970967093260825,-0.34160092536905867,-0.12436434721324426,-0.7354231952435877,0.11689752378353785,0.3983339488235113,-0.003515982572883548,-0.5202640782490818,default,D_WLS_freq_plus_TSwt,True,V_col4_tfidf_mda,fin_neg_tfidf_mda,,,,,-0.003515982572883548,-0.5202640782490818
50792,60,0.044491475314591404,-0.17669590483499606,-1.0935029139003336,0.07461489115373007,2.0254362461403774,0.10681843197031503,0.9043204922091852,-0.2644768345597357,-1.9810467881909644,0.05378904861394633,0.19229855525976233,-0.3389867948937596,-2.283585138082172,0.17399871782480805,0.49502376763386713,-0.17669590483499606,-1.0935029139003336,default,D_WLS_freq_plus_TSwt,False,IV_col2_prop,fin_neg_prop,,,,,,
50792,60,0.04641239278555163,,,0.07178750983489887,1.8500739053770714,0.0789426201526833,0.6531885181654735,-0.2558754412304957,-1.9580747965655692,0.05077990005776722,0.18070959255923894,-0.3604632646752062,-2.3941844653536526,0.14136035291742316,0.39236519636031053,-0.005499149040603774,-0.830691138111674,default,D_WLS_freq_plus_TSwt,False,IV_col4_tfidf,fin_neg_tfidf_full,-0.005499149040603774,-0.830691138111674,,,,
